"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Test_1","476.000","12.392","7.500","999.90"
"Test_1","477.000","12.392","7.500","999.90"
"Test_1","478.000","12.388","7.500","999.90"
"Test_1","479.000","12.392","7.500","999.90"
"Test_1","480.000","12.392","7.500","999.90"
"Test_1","481.000","12.396","7.500","999.90"
"Test_1","482.000","12.392","7.500","999.90"
"Test_1","483.000","12.396","7.500","999.90"
"Test_1","484.000","12.392","7.500","999.90"
"Test_1","485.000","12.392","7.500","999.90"
"Test_1","486.000","12.396","7.500","999.90"
"Test_1","487.000","12.392","7.500","999.90"
"Test_1","488.000","12.392","7.500","999.90"
"Test_1","489.000","12.392","7.500","999.90"
"Test_1","490.000","12.388","7.500","999.90"
"Test_1","491.000","12.388","7.500","999.90"
"Test_1","492.000","12.392","7.500","999.90"
"Test_1","493.000","12.392","7.500","999.90"
"Test_1","494.000","12.392","7.500","999.90"
"Test_1","495.000","12.392","7.500","999.90"
"Test_1","496.000","12.392","7.500","999.90"
"Test_1","497.000","12.392","7.500","999.90"
"Test_1","498.000","12.392","7.500","999.90"
"Test_1","499.000","12.392","7.500","999.90"
"Test_1","500.000","12.392","7.500","999.90"
"Test_1","501.000","12.392","7.500","999.90"
"Test_1","502.000","12.392","7.500","999.90"
"Test_1","503.000","12.392","7.500","999.90"
"Test_1","504.000","12.396","7.500","999.90"
"Test_1","505.000","12.392","7.500","999.90"
"Test_1","506.000","12.392","7.500","999.90"
"Test_1","507.000","12.392","7.500","999.90"
"Test_1","508.000","12.392","7.500","999.90"
"Test_1","509.000","12.392","7.500","999.90"
"Test_1","510.000","12.392","7.500","999.90"
"Test_1","511.000","12.392","7.500","999.90"
"Test_1","512.000","12.392","7.500","999.90"
"Test_1","513.000","12.392","7.500","999.90"
"Test_1","514.000","12.392","7.500","999.90"
"Test_1","515.000","12.392","7.500","999.90"
"Test_1","516.000","12.392","7.500","999.90"
"Test_1","517.000","12.392","7.500","999.90"
"Test_1","518.000","12.392","7.500","999.90"
"Test_1","519.000","12.388","7.500","999.90"
"Test_1","520.000","12.392","7.500","999.90"
"Test_1","521.000","12.392","7.500","999.90"
"Test_1","522.000","12.392","7.500","999.90"
"Test_1","523.000","12.388","7.500","999.90"
"Test_1","524.000","12.392","7.500","999.90"
"Test_1","525.000","12.392","7.500","999.90"
"Test_1","526.000","12.392","7.500","999.90"
"Test_1","527.000","12.392","7.500","999.90"
"Test_1","528.000","12.392","7.500","999.90"
"Test_1","529.000","12.392","7.500","999.90"
"Test_1","530.000","12.396","7.500","999.90"
"Test_1","531.000","12.388","7.500","999.90"
"Test_1","532.000","12.392","7.500","999.90"
"Test_1","533.000","12.392","7.500","999.90"
"Test_1","534.000","12.392","7.500","999.90"
"Test_1","535.000","12.388","7.500","999.90"
"Test_1","536.000","12.392","7.500","999.90"
"Test_1","537.000","12.392","7.500","999.90"
"Test_1","538.000","12.392","7.500","999.90"
"Test_1","539.000","12.388","7.500","999.90"
"Test_1","540.000","12.392","7.500","999.90"
"Test_1","541.000","12.392","7.500","999.90"
"Test_1","542.000","12.388","7.500","999.90"
"Test_1","543.000","12.392","7.500","999.90"
"Test_1","544.000","12.447","7.500","999.90"
"Test_1","545.000","12.423","7.500","999.90"
"Test_1","546.000","12.427","7.500","999.90"
"Test_1","547.000","12.427","7.500","999.90"
"Test_1","548.000","12.431","7.500","999.90"
"Test_1","549.000","12.431","7.500","999.90"
"Test_1","550.000","12.431","7.500","999.90"
"Test_1","551.000","12.435","7.500","999.90"
"Test_1","552.000","12.435","7.500","999.90"
"Test_1","553.000","12.431","7.500","999.90"
"Test_1","554.000","12.435","7.500","999.90"
"Test_1","555.000","12.431","7.500","999.90"
"Test_1","556.000","12.431","7.500","999.90"
"Test_1","557.000","12.435","7.500","999.90"
"Test_1","558.000","12.435","7.500","999.90"
"Test_1","559.000","12.431","7.500","999.90"
"Test_1","560.000","12.435","7.500","999.90"
"Test_1","561.000","12.435","7.500","999.90"
"Test_1","562.000","12.435","7.500","999.90"
"Test_1","563.000","12.435","7.500","999.90"
"Test_1","564.000","12.435","7.500","999.90"
"Test_1","565.000","12.435","7.500","999.90"
"Test_1","566.000","12.435","7.500","999.90"
"Test_1","567.000","12.435","7.500","999.90"
,,,,
